2026-07-22 00:56:35,015 | INFO | scan_engine | Validation completed.
2026-07-22 00:56:35,016 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-22 00:56:35,023 | INFO | file_service | Files discovered: 30
2026-07-22 00:56:35,023 | INFO | scan_engine | Discovered 30 file(s).
2026-07-22 00:56:35,023 | INFO | scan_engine | Duplicate groups found: 4
2026-07-22 00:56:35,023 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:56:35,024 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:57:16,076 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:57:16,077 | INFO | scan_engine | ============================================================
2026-07-22 00:57:16,077 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:57:16,078 | INFO | scan_engine | Validation completed.
2026-07-22 00:57:16,078 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop
2026-07-22 00:57:16,198 | INFO | file_service | Files discovered: 153
2026-07-22 00:57:16,198 | INFO | scan_engine | Discovered 153 file(s).
2026-07-22 00:57:16,198 | INFO | scan_engine | Duplicate groups found: 23
2026-07-22 00:57:16,198 | INFO | scan_engine | Duplicate scan completed.
2026-07-22 00:57:16,200 | INFO | callbacks | Duplicate scan completed.
2026-07-22 00:57:31,487 | INFO | callbacks | Starting duplicate scan.
2026-07-22 00:57:31,488 | INFO | scan_engine | ============================================================
2026-07-22 00:57:31,488 | INFO | scan_engine | Starting duplicate scan.
2026-07-22 00:57:31,489 | INFO | scan_engine | Validation completed.
2026-07-22 00:57:31,489 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop
2026-07-22 00:57:31,517 | INFO | file_service | Files discovered: 153
2026-07-22 00:57:31,517 | INFO | scan_engine | Discovered 153 file(s).
